director,count,movies_from_director,my_rating,avg_rating,diff_rating
AlfredHitchcock,4,"['Rear Window', 'Vertigo', 'Dial M for Murder', 'Psycho']",4.38,4.26,0.12
KentJones,1,['Hitchcock/Truffaut'],3.50,3.66,-0.16
FedericoFellini,2,"[""Fellini's Roma"", '8½']",4.25,4.08,0.17
RichardRich,1,['The Swan Princess'],2.50,3.27,-0.77
DeanDeBlois,2,"['How to Train Your Dragon', 'How to Train Your Dragon 2']",4.25,4.00,0.25
ChrisSanders,2,"['How to Train Your Dragon', 'The Wild Robot']",3.50,4.17,-0.67
MichaelHaneke,6,"['Amour', 'The Piano Teacher', 'Caché', 'Happy End', 'Funny Games', ""Benny's Video""]",4.00,3.89,0.11
KevinSmith,3,"['Dogma', 'Chasing Amy', 'Tusk']",2.33,3.10,-0.76
TonyKaye,1,['American History X'],4.00,4.16,-0.16
JohnHughes,2,"['The Breakfast Club', 'Weird Science']",3.25,3.42,-0.17
EdgarWright,6,"['Shaun of the Dead', 'Hot Fuzz', 'Scott Pilgrim vs. the World', 'Baby Driver', ""The World's End"", 'The Running Man']",3.83,3.72,0.11
WesAnderson,4,"['The Grand Budapest Hotel', 'The Royal Tenenbaums', 'Moonrise Kingdom', 'The French Dispatch of the Liberty, Kansas Evening Sun']",3.38,4.01,-0.64
JonFavreau,2,"['The Jungle Book', 'Iron Man']",3.00,3.48,-0.48
VictorFleming,1,['The Wizard of Oz'],4.00,3.92,0.08
JohnHuston,1,['The Maltese Falcon'],4.00,3.91,0.09
SidneyLumet,2,"['12 Angry Men', 'Network']",4.50,4.45,0.05
JericcaCleland,1,['Ratchet & Clank'],1.00,2.38,-1.38
KevinMunroe,1,['Ratchet & Clank'],1.00,2.38,-1.38
MichaelCurtiz,1,['Casablanca'],4.50,4.28,0.22
EliaKazan,2,"['On the Waterfront', 'A Streetcar Named Desire']",4.00,4.09,-0.09
JosephL.Mankiewicz,1,['All About Eve'],4.50,4.36,0.14
BlakeEdwards,1,"[""Breakfast at Tiffany's""]",3.00,3.80,-0.80
RichardBrooks,1,['Cat on a Hot Tin Roof'],2.50,3.92,-1.42
FrankCapra,1,"[""It's a Wonderful Life""]",4.00,4.44,-0.44
DavidLean,1,['The Bridge on the River Kwai'],4.50,4.24,0.26
BillyWilder,6,"['The Seven Year Itch', 'Sunset Boulevard', 'The Apartment', 'Double Indemnity', 'Witness for the Prosecution', 'Some Like It Hot']",3.67,4.18,-0.52
OrsonWelles,1,['Citizen Kane'],4.50,4.19,0.31
DuncanJones,2,"['Warcraft', 'Moon']",2.25,3.19,-0.94
PaulVerhoeven,4,"['Elle', 'Starship Troopers', 'RoboCop', 'Benedetta']",3.25,3.71,-0.46
RoarUthaug,1,['The Wave'],3.00,3.19,-0.19
CaryJojiFukunaga,1,['Jane Eyre'],3.50,3.66,-0.16
LennyAbrahamson,2,"['Frank', 'Room']",3.75,3.78,-0.03
F.GaryGray,2,"['Straight Outta Compton', 'Friday']",3.25,3.70,-0.45
NicholasStoller,1,['Neighbors 2: Sorority Rising'],2.50,2.50,0.00
JonM.Chu,2,"['Now You See Me 2', 'Crazy Rich Asians']",2.50,3.31,-0.81
TomFord,1,['A Single Man'],4.50,3.90,0.60
ToddPhillips,3,"['War Dogs', 'Joker', 'The Hangover']",2.33,3.69,-1.35
FernandoMeirelles,1,['City of God'],4.50,4.56,-0.06
PattyJenkins,1,['Monster'],3.00,3.66,-0.66
WilliamFriedkin,1,['The Exorcist'],4.00,3.95,0.05
HaroldRamis,1,['Groundhog Day'],4.00,3.81,0.19
DavidMackenzie,1,['Hell or High Water'],4.00,3.93,0.07
DerekCianfrance,1,['The Light Between Oceans'],2.50,3.42,-0.92
RobertJanWestdijk,1,['Waterboys'],3.00,3.37,-0.37
OliverStone,2,"['Snowden', 'The Doors']",2.00,3.35,-1.35
IngmarBergman,3,"['Wild Strawberries', 'Persona', 'Cries and Whispers']",4.00,4.31,-0.31
MattRoss,1,['Captain Fantastic'],4.00,3.95,0.05
ScottDerrickson,1,['Doctor Strange'],3.50,3.48,0.02
FisherStevens,1,['Before the Flood'],3.50,3.72,-0.22
WernerHerzog,2,"['Lo and Behold: Reveries of the Connected World', 'Grizzly Man']",3.25,3.82,-0.57
